year,node1,node2,node3,sign12,sign13,sign23,balanced,actor_load_mean,actor_load_min,deg_mean,tie_btw_mean,tie_emb_mean,triad_overlap,triad_id,triad_log_cinc_mean,balanced_prior,target_year,balanced_t5,outcome,frozen,era,trade12,trade13,trade23,tie_trade_mean
1864,240,255,390,-1,-1,-1,FALSE,0.35841265432098757,0.35357191358024687,8.666666666666666,1.4444444444444446,6.333333333333333,5.333333333333333,240-255-390,-4.876561846775967,NA,1869,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1864,240,245,255,-1,1,1,FALSE,0.3577005868007925,0.35357191358024687,9.666666666666666,1.1111111111111114,8.333333333333334,7.333333333333334,240-245-255,-4.769854772220209,TRUE,1869,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1864,240,255,267,-1,1,1,FALSE,0.3577005868007925,0.35357191358024687,9.666666666666666,1.1111111111111114,8.333333333333334,7.333333333333334,240-255-267,-5.243206043369879,TRUE,1869,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1864,240,255,271,-1,1,1,FALSE,0.35357191358024687,0.35357191358024687,10,1,9,8,240-255-271,-5.172538100881616,TRUE,1869,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1864,240,255,273,-1,1,1,FALSE,0.3577005868007925,0.35357191358024687,9.666666666666666,1.1111111111111114,8.333333333333334,7.333333333333334,240-255-273,-5.242668215796934,TRUE,1869,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1864,240,255,275,-1,1,1,FALSE,0.35357191358024687,0.35357191358024687,10,1,9,8,240-255-275,-5.269899867229253,TRUE,1869,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1864,240,255,280,-1,1,1,FALSE,0.3577005868007925,0.35357191358024687,9.666666666666666,1.1111111111111114,8.333333333333334,7.333333333333334,240-255-280,-5.570469284734074,TRUE,1869,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1864,255,269,390,-1,-1,-1,FALSE,0.35841265432098757,0.35357191358024687,8.666666666666666,1.4444444444444446,6.333333333333333,5.333333333333333,255-269-390,-4.636100113345106,NA,1869,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1864,245,255,269,-1,1,1,FALSE,0.3577005868007925,0.35357191358024687,9.666666666666666,1.1111111111111114,8.333333333333334,7.333333333333334,245-255-269,-4.5293930387893475,TRUE,1869,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1864,255,269,280,-1,1,1,FALSE,0.3577005868007925,0.35357191358024687,9.666666666666666,1.1111111111111114,8.333333333333334,7.333333333333334,255-269-280,-5.330007551303211,TRUE,1869,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1864,255,267,269,-1,1,1,FALSE,0.3577005868007925,0.35357191358024687,9.666666666666666,1.1111111111111114,8.333333333333334,7.333333333333334,255-267-269,-5.002744309939017,TRUE,1869,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1864,255,269,271,-1,1,1,FALSE,0.35357191358024687,0.35357191358024687,10,1,9,8,255-269-271,-4.932076367450755,TRUE,1869,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
