year,ccode_lo,ccode_hi,org_emb
1816,200,235,1
1816,200,255,0.3333333333333333
1816,200,300,0.3333333333333333
1816,200,365,0.3333333333333333
1816,200,380,1
1816,210,230,1
1816,245,255,0.14285714285714285
1816,245,267,0.14285714285714285
1816,245,269,0.14285714285714285
1816,245,271,0.14285714285714285
1816,245,273,0.14285714285714285
1816,245,275,0.14285714285714285
1816,245,300,0.14285714285714285
1816,255,267,0.14285714285714285
1816,255,269,0.14285714285714285
1816,255,271,0.14285714285714285
1816,255,273,0.14285714285714285
1816,255,275,0.14285714285714285
1816,255,300,0.47619047619047616
1816,255,365,0.3333333333333333
1816,267,269,0.14285714285714285
1816,267,271,0.14285714285714285
1816,267,273,0.14285714285714285
1816,267,275,0.14285714285714285
1816,267,300,0.14285714285714285
1816,269,271,0.14285714285714285
1816,269,273,0.14285714285714285
1816,269,275,0.14285714285714285
1816,269,300,0.14285714285714285
1816,271,273,0.14285714285714285
1816,271,275,0.14285714285714285
1816,271,300,0.14285714285714285
1816,273,275,0.14285714285714285
1816,273,300,0.14285714285714285
1816,275,300,0.14285714285714285
1816,300,329,1
1816,300,337,1
1816,300,365,0.3333333333333333
1817,200,235,1
1817,200,255,0.3333333333333333
1817,200,300,0.3333333333333333
1817,200,365,0.3333333333333333
1817,200,380,1
1817,210,230,1
1817,245,255,0.14285714285714285
1817,245,267,0.14285714285714285
1817,245,269,0.14285714285714285
1817,245,271,0.14285714285714285
1817,245,273,0.14285714285714285
1817,245,275,0.14285714285714285
1817,245,300,0.14285714285714285
1817,255,267,0.14285714285714285
1817,255,269,0.14285714285714285
1817,255,271,0.14285714285714285
1817,255,273,0.14285714285714285
1817,255,275,0.14285714285714285
1817,255,300,0.47619047619047616
1817,255,365,0.3333333333333333
1817,267,269,0.14285714285714285
1817,267,271,0.14285714285714285
1817,267,273,0.14285714285714285
1817,267,275,0.14285714285714285
1817,267,300,0.14285714285714285
1817,269,271,0.14285714285714285
1817,269,273,0.14285714285714285
1817,269,275,0.14285714285714285
1817,269,300,0.14285714285714285
1817,271,273,0.14285714285714285
1817,271,275,0.14285714285714285
1817,271,300,0.14285714285714285
1817,273,275,0.14285714285714285
1817,273,300,0.14285714285714285
1817,275,300,0.14285714285714285
1817,300,329,1
1817,300,337,1
1817,300,365,0.3333333333333333
1818,200,235,1
1818,200,255,0.3333333333333333
1818,200,300,0.3333333333333333
1818,200,365,0.3333333333333333
1818,200,380,1
1818,210,230,1
1818,245,255,0.14285714285714285
1818,245,267,0.14285714285714285
1818,245,269,0.14285714285714285
1818,245,271,0.14285714285714285
1818,245,273,0.14285714285714285
1818,245,275,0.14285714285714285
1818,245,300,0.14285714285714285
1818,255,267,0.14285714285714285
1818,255,269,0.14285714285714285
1818,255,271,0.14285714285714285
1818,255,273,0.14285714285714285
1818,255,275,0.14285714285714285
1818,255,300,0.47619047619047616
1818,255,365,0.3333333333333333
1818,267,269,0.14285714285714285
1818,267,271,0.14285714285714285
1818,267,273,0.14285714285714285
1818,267,275,0.14285714285714285
1818,267,300,0.14285714285714285
1818,269,271,0.14285714285714285
1818,269,273,0.14285714285714285
1818,269,275,0.14285714285714285
1818,269,300,0.14285714285714285
1818,271,273,0.14285714285714285
1818,271,275,0.14285714285714285
1818,271,300,0.14285714285714285
1818,273,275,0.14285714285714285
1818,273,300,0.14285714285714285
1818,275,300,0.14285714285714285
1818,300,329,1
1818,300,337,1
1818,300,365,0.3333333333333333
1819,200,235,1
1819,200,255,0.3333333333333333
1819,200,300,0.3333333333333333
1819,200,365,0.3333333333333333
1819,200,380,1
1819,210,230,1
1819,245,255,0.14285714285714285
1819,245,267,0.14285714285714285
1819,245,269,0.14285714285714285
1819,245,271,0.14285714285714285
1819,245,273,0.14285714285714285
1819,245,275,0.14285714285714285
1819,245,300,0.14285714285714285
1819,255,267,0.14285714285714285
1819,255,269,0.14285714285714285
1819,255,271,0.14285714285714285
1819,255,273,0.14285714285714285
1819,255,275,0.14285714285714285
1819,255,300,0.47619047619047616
1819,255,365,0.3333333333333333
1819,267,269,0.14285714285714285
1819,267,271,0.14285714285714285
1819,267,273,0.14285714285714285
1819,267,275,0.14285714285714285
1819,267,300,0.14285714285714285
1819,269,271,0.14285714285714285
1819,269,273,0.14285714285714285
1819,269,275,0.14285714285714285
1819,269,300,0.14285714285714285
1819,271,273,0.14285714285714285
1819,271,275,0.14285714285714285
1819,271,300,0.14285714285714285
1819,273,275,0.14285714285714285
1819,273,300,0.14285714285714285
1819,275,300,0.14285714285714285
1819,300,329,1
1819,300,337,1
1819,300,365,0.3333333333333333
1820,200,235,1
1820,200,255,0.3333333333333333
1820,200,300,0.3333333333333333
1820,200,365,0.3333333333333333
1820,200,380,1
1820,210,230,1
1820,245,255,0.14285714285714285
1820,245,267,0.14285714285714285
1820,245,269,0.14285714285714285
1820,245,271,0.14285714285714285
1820,245,273,0.14285714285714285
1820,245,275,0.14285714285714285
1820,245,300,0.14285714285714285
1820,255,267,0.14285714285714285
1820,255,269,0.14285714285714285
1820,255,271,0.14285714285714285
1820,255,273,0.14285714285714285
1820,255,275,0.14285714285714285
1820,255,300,0.47619047619047616
1820,255,365,0.3333333333333333
1820,267,269,0.14285714285714285
1820,267,271,0.14285714285714285
1820,267,273,0.14285714285714285
1820,267,275,0.14285714285714285
1820,267,300,0.14285714285714285
1820,269,271,0.14285714285714285
1820,269,273,0.14285714285714285
1820,269,275,0.14285714285714285
1820,269,300,0.14285714285714285
1820,271,273,0.14285714285714285
1820,271,275,0.14285714285714285
1820,271,300,0.14285714285714285
1820,273,275,0.14285714285714285
1820,273,300,0.14285714285714285
1820,275,300,0.14285714285714285
1820,300,329,1
1820,300,337,1
1820,300,365,0.3333333333333333
1821,200,235,1
1821,200,255,0.3333333333333333
1821,200,300,0.3333333333333333
1821,200,365,0.3333333333333333
1821,200,380,1
1821,245,255,0.14285714285714285
1821,245,267,0.14285714285714285
1821,245,269,0.14285714285714285
1821,245,271,0.14285714285714285
1821,245,273,0.14285714285714285
1821,245,275,0.14285714285714285
1821,245,300,0.14285714285714285
1821,255,267,0.14285714285714285
1821,255,269,0.14285714285714285
1821,255,271,0.14285714285714285
1821,255,273,0.14285714285714285
1821,255,275,0.14285714285714285
1821,255,300,0.47619047619047616
1821,255,365,0.3333333333333333
1821,267,269,0.14285714285714285
1821,267,271,0.14285714285714285
1821,267,273,0.14285714285714285
1821,267,275,0.14285714285714285
1821,267,300,0.14285714285714285
1821,269,271,0.14285714285714285
1821,269,273,0.14285714285714285
1821,269,275,0.14285714285714285
1821,269,300,0.14285714285714285
1821,271,273,0.14285714285714285
1821,271,275,0.14285714285714285
1821,271,300,0.14285714285714285
