year,node1,node2,node3,sign12,sign13,sign23,balanced,actor_load_mean,actor_load_min,deg_mean,tie_btw_mean,tie_emb_mean,triad_overlap,triad_id,triad_log_cinc_mean,target_year,balanced_t5,still_closed_t5,resolved,trade12,trade13,trade23,tie_trade_mean
1904,255,300,325,-1,1,1,FALSE,0.635352366255144,0.5494791666666666,3.6666666666666665,6.666666666666667,2,1,255-300-325,-2.9176166076916887,1909,TRUE,TRUE,TRUE,0.21667481708368963,0.05908576858684107,0.07883102791146951,0.1181972045273334
1907,90,91,94,-1,1,1,FALSE,0.765625,0.765625,4,1,3,2,90-91-94,-8.117603488441512,1912,TRUE,TRUE,TRUE,NA,NA,NA,NA
1907,90,91,92,-1,1,1,FALSE,0.765625,0.765625,4,1,3,2,90-91-92,-8.108231997221722,1912,TRUE,TRUE,TRUE,NA,NA,NA,NA
1907,90,92,93,1,1,-1,FALSE,0.765625,0.765625,4,1,3,2,90-92-93,-7.999967132607564,1912,TRUE,TRUE,TRUE,NA,NA,NA,NA
1907,91,93,94,-1,1,1,FALSE,0.765625,0.765625,4,1,3,2,91-93-94,-8.562140041315892,1912,TRUE,TRUE,TRUE,NA,NA,NA,NA
1907,92,93,94,-1,1,1,FALSE,0.765625,0.765625,4,1,3,2,92-93-94,-8.244615879588398,1912,TRUE,TRUE,TRUE,NA,NA,NA,NA
1909,90,91,93,1,-1,1,FALSE,0.6067708333333334,0.39583333333333326,4.666666666666667,15,3,2,90-91-93,-8.253738663512095,1914,TRUE,TRUE,TRUE,NA,NA,NA,NA
1909,90,92,93,1,-1,1,FALSE,0.6067708333333334,0.39583333333333326,4.666666666666667,15,3,2,90-92-93,-8.004786072652987,1914,TRUE,TRUE,TRUE,NA,NA,NA,NA
1909,91,93,94,-1,1,1,FALSE,0.6067708333333334,0.39583333333333326,4.666666666666667,15,3,2,91-93-94,-8.617495520465244,1914,TRUE,TRUE,TRUE,NA,NA,NA,NA
1909,92,93,94,-1,1,1,FALSE,0.6067708333333334,0.39583333333333326,4.666666666666667,15,3,2,92-93-94,-8.244066634176582,1914,TRUE,TRUE,TRUE,NA,NA,NA,NA
1911,255,300,325,1,1,-1,FALSE,0.415359876628908,0.2781942709056412,5.666666666666667,16.999999999999996,2.6666666666666665,1.6666666666666665,255-300-325,-2.8551531275127333,1916,TRUE,TRUE,TRUE,0.1968583734889214,0.08100784643713232,0.07604887826537703,0.11797169939714358
1911,220,325,365,-1,1,1,FALSE,0.3121802922479145,0.29170209750566894,5.666666666666667,16,1.6666666666666667,0.6666666666666667,220-325-365,-2.721146502261373,1916,TRUE,TRUE,TRUE,0.05779775484470363,0.03854347943781997,0.04425136104124785,0.04686419844125715
1911,300,325,360,-1,1,1,FALSE,0.5452705962707581,0.29995892914989125,4.333333333333333,5.444444444444444,2,1,300-325-360,-3.9407231143021,1916,TRUE,TRUE,TRUE,0.07604887826537703,0.07246991550679918,0.02940049475658635,0.05930642950958752
1912,220,325,365,1,1,-1,FALSE,0.30970454617032,0.18009637188208616,5.666666666666667,16.5,1.3333333333333333,0.33333333333333326,220-325-365,-2.651340395932967,1917,TRUE,TRUE,TRUE,0.05199972748833909,0.05616400947129452,0.03855568627769202,0.04890647441244188
1912,300,325,365,1,-1,1,FALSE,0.30984993071302597,0.18009637188208616,6,10.166666666666666,2,1,300-325-365,-2.8188700925863257,1917,TRUE,TRUE,TRUE,0.0805098163066692,0.04111123646451818,0.03855568627769202,0.05339224634962647
1913,345,355,640,-1,-1,-1,FALSE,0.4908564814814815,0.41527777777777775,4.333333333333333,5.611111111111112,2.3333333333333335,1.3333333333333335,345-355-640,-4.842105388710253,1918,TRUE,TRUE,TRUE,NA,NA,0.01376113769390832,0.01376113769390832
1913,350,355,640,-1,-1,-1,FALSE,0.5640856481481481,0.41527777777777775,4,6.972222222222221,2.3333333333333335,1.3333333333333335,350-355-640,-4.36909128780322,1918,TRUE,TRUE,TRUE,0.01415108319754792,0.00738368332975952,0.01376113769390832,0.01176530140707192
1918,90,91,93,1,-1,1,FALSE,0.4847497849550734,0.41050491042077575,5.333333333333333,1.3333333333333333,4,3,90-91-93,-8.780405282621178,1923,TRUE,TRUE,TRUE,NA,NA,NA,NA
1918,91,93,94,-1,1,1,FALSE,0.5275458497698883,0.41050491042077575,5,8.47222222222222,3.3333333333333335,2.3333333333333335,91-93-94,-9.012739117358713,1923,TRUE,TRUE,TRUE,NA,NA,NA,NA
1918,91,92,93,-1,1,1,FALSE,0.5275458497698883,0.41050491042077575,5,8.472222222222221,3.3333333333333335,2.3333333333333335,91-92-93,-8.847027280065026,1923,TRUE,TRUE,TRUE,NA,NA,NA,NA
1922,365,630,700,-1,1,1,FALSE,0.5821759259259259,0.3767361111111111,3,9.444444444444445,1,0,365-630-700,-4.577528421947687,1927,TRUE,TRUE,TRUE,0.00803955807714492,NA,NA,0.00803955807714492
1925,200,220,325,1,-1,1,FALSE,0.31910058013260173,0.26828017832647466,7.666666666666667,10.499999999999998,4.333333333333333,3.333333333333333,200-220-325,-2.8761833139231148,1930,TRUE,TRUE,TRUE,0.10947079026237792,0.04437166079429706,0.06358058836007775,0.07247434647225091
1925,211,220,325,-1,1,1,FALSE,0.4029995963363055,0.26828017832647466,6.333333333333333,7.166666666666667,3.3333333333333335,2.3333333333333335,211-220-325,-3.5262973171369385,1930,TRUE,TRUE,TRUE,0.12510464303307917,0,0.06358058836007775,0.0628950771310523
