year,triad_id,balanced,actor_load_mean,tie_btw_mean,tie_emb_mean,triad_log_cinc_mean,prev_year,prev_balanced,is_onset,spell_id_local,spell_id,t1,event,is_terminal_row,row_event,z_actor_load,z_tie_btw,z_tie_emb,z_cinc,era,event_dissolve,event_flip
1997,100-101-130,FALSE,0.11500797867443287,1,32,-5.6581940867882805,1996,TRUE,TRUE,4,100-101-130_S4,1997,flipped,TRUE,flipped,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,0.45108910661455004,post-1989,0,1
2000,100-101-130,FALSE,0.11462239730844685,1,32,-5.677725355344884,1999,TRUE,TRUE,5,100-101-130_S5,2000,flipped,TRUE,flipped,-0.8106276039274449,-0.5537596743545242,1.4148164200442492,0.4380326904925918,post-1989,0,1
2003,100-101-130,FALSE,0.11476740687100999,1,32,-5.684882927669529,2002,TRUE,TRUE,6,100-101-130_S6,2003,flipped,TRUE,flipped,-0.8086012418675352,-0.5537596743545242,1.4148164200442492,0.43324794021266283,post-1989,0,1
2005,100-101-130,FALSE,0.11483313371520337,1,32,-5.680398745873837,2004,TRUE,TRUE,7,100-101-130_S7,2005,flipped,TRUE,flipped,-0.8076827756571908,-0.5537596743545242,1.4148164200442492,0.4362455613513712,post-1989,0,1
2007,100-101-130,FALSE,0.1148677345878587,1,32,-5.647473284359944,2006,TRUE,TRUE,8,100-101-130_S8,2007,flipped,TRUE,flipped,-0.8071992634366915,-0.5537596743545242,1.4148164200442492,0.4582558329979387,post-1989,0,1
2010,100-101-130,FALSE,0.1148677345878587,1,32,-5.62027834129321,2009,TRUE,TRUE,9,100-101-130_S9,2010,flipped,TRUE,flipped,-0.8071992634366915,-0.5537596743545242,1.4148164200442492,0.4764353225719636,post-1989,0,1
1982,100-101-135,FALSE,0.12547831666631967,1.8888888888888886,28,-5.54870632269429,1981,TRUE,TRUE,1,100-101-135_S1,1982,flipped,TRUE,flipped,-0.658927104157609,-0.5322415441626295,0.9601797284892816,0.524280348859316,1945-1989,0,1
1987,100-101-135,FALSE,0.12705535741502813,1,29,-5.514637130946361,1986,TRUE,TRUE,2,100-101-135_S2,1988,flipped,FALSE,continues,-0.636889553780729,-0.5537596743545242,1.0738389013780234,0.5470551902942496,1945-1989,0,0
1988,100-101-135,FALSE,0.12705535741502813,1,29,-5.558493706241934,1987,FALSE,FALSE,2,100-101-135_S2,1988,flipped,TRUE,flipped,-0.636889553780729,-0.5537596743545242,1.0738389013780234,0.5177376016755935,1945-1989,0,1
1994,100-101-135,FALSE,0.1146704384053689,1,32,-5.457009342668192,1993,TRUE,TRUE,3,100-101-135_S3,1995,flipped,FALSE,continues,-0.8099562781583123,-0.5537596743545242,1.4148164200442492,0.5855786677512989,post-1989,0,0
1995,100-101-135,FALSE,0.11500797867443287,1,32,-5.446391049477148,1994,FALSE,FALSE,3,100-101-135_S3,1995,flipped,TRUE,flipped,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,0.5926768679529623,post-1989,0,1
1997,100-101-135,FALSE,0.11500797867443287,1,32,-5.41680385875779,1996,TRUE,TRUE,4,100-101-135_S4,1997,flipped,TRUE,flipped,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,0.6124555460655559,post-1989,0,1
2000,100-101-135,FALSE,0.11462239730844685,1,32,-5.441286811171432,1999,TRUE,TRUE,5,100-101-135_S5,2000,flipped,TRUE,flipped,-0.8106276039274449,-0.5537596743545242,1.4148164200442492,0.5960889893475315,post-1989,0,1
2003,100-101-135,FALSE,0.11476740687100999,1,32,-5.43707345786991,2002,TRUE,TRUE,6,100-101-135_S6,2003,flipped,TRUE,flipped,-0.8086012418675352,-0.5537596743545242,1.4148164200442492,0.5989055649229518,post-1989,0,1
2006,100-101-135,FALSE,0.11490357687453194,1,32,-5.418627244856259,2005,TRUE,TRUE,7,100-101-135_S7,2006,flipped,TRUE,flipped,-0.8066984037101239,-0.5537596743545242,1.4148164200442492,0.6112366345758281,post-1989,0,1
2008,100-101-135,FALSE,0.11483313371520337,1,32,-5.34248068199811,2007,TRUE,TRUE,8,100-101-135_S8,2010,flipped,FALSE,continues,-0.8076827756571908,-0.5537596743545242,1.4148164200442492,0.6621396882126955,post-1989,0,0
2009,100-101-135,FALSE,0.11483313371520337,1,32,-5.344353845888225,2008,FALSE,FALSE,8,100-101-135_S8,2010,flipped,FALSE,continues,-0.8076827756571908,-0.5537596743545242,1.4148164200442492,0.6608875008730408,post-1989,0,0
2010,100-101-135,FALSE,0.1148677345878587,1,32,-5.373000830936444,2009,FALSE,FALSE,8,100-101-135_S8,2010,flipped,TRUE,flipped,-0.8071992634366915,-0.5537596743545242,1.4148164200442492,0.6417373388472052,post-1989,0,1
1982,100-101-140,FALSE,0.12547831666631967,1.8888888888888886,28,-4.92435520055271,1981,TRUE,TRUE,1,100-101-140_S1,1982,flipped,TRUE,flipped,-0.658927104157609,-0.5322415441626295,0.9601797284892816,0.9416515008286532,1945-1989,0,1
1987,100-101-140,FALSE,0.12705535741502813,1,29,-4.859731421767739,1986,TRUE,TRUE,2,100-101-140_S2,1988,flipped,FALSE,continues,-0.636889553780729,-0.5537596743545242,1.0738389013780234,0.9848517130803397,1945-1989,0,0
1988,100-101-140,FALSE,0.12705535741502813,1,29,-4.878884204414979,1987,FALSE,FALSE,2,100-101-140_S2,1988,flipped,TRUE,flipped,-0.636889553780729,-0.5537596743545242,1.0738389013780234,0.9720483101978759,1945-1989,0,1
1994,100-101-140,FALSE,0.1146704384053689,1,32,-4.779590296016703,1993,TRUE,TRUE,3,100-101-140_S3,1995,flipped,FALSE,continues,-0.8099562781583123,-0.5537596743545242,1.4148164200442492,1.038425083558313,post-1989,0,0
1995,100-101-140,FALSE,0.11500797867443287,1,32,-4.7690318752660446,1994,FALSE,FALSE,3,100-101-140_S3,1995,flipped,TRUE,flipped,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,1.045483259759813,post-1989,0,1
1997,100-101-140,FALSE,0.11500797867443287,1,32,-4.725367338302208,1996,TRUE,TRUE,4,100-101-140_S4,1997,flipped,TRUE,flipped,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,1.074672473083068,post-1989,0,1
2000,100-101-140,FALSE,0.11462239730844685,1,32,-4.75416364835041,1999,TRUE,TRUE,5,100-101-140_S5,2000,flipped,TRUE,flipped,-0.8106276039274449,-0.5537596743545242,1.4148164200442492,1.0554224891060087,post-1989,0,1
2003,100-101-140,FALSE,0.11476740687100999,1,32,-4.746802587154207,2002,TRUE,TRUE,6,100-101-140_S6,2003,flipped,TRUE,flipped,-0.8086012418675352,-0.5537596743545242,1.4148164200442492,1.0603432692283186,post-1989,0,1
2006,100-101-140,FALSE,0.11490357687453194,1,32,-4.720359475825653,2005,TRUE,TRUE,7,100-101-140_S7,2006,flipped,TRUE,flipped,-0.8066984037101239,-0.5537596743545242,1.4148164200442492,1.0780201684048516,post-1989,0,1
2008,100-101-140,FALSE,0.11483313371520337,1,32,-4.656869123489116,2007,TRUE,TRUE,8,100-101-140_S8,2010,flipped,FALSE,continues,-0.8076827756571908,-0.5537596743545242,1.4148164200442492,1.1204626988238653,post-1989,0,0
2009,100-101-140,FALSE,0.11483313371520337,1,32,-4.674842668008375,2008,FALSE,FALSE,8,100-101-140_S8,2010,flipped,FALSE,continues,-0.8076827756571908,-0.5537596743545242,1.4148164200442492,1.1084476023261705,post-1989,0,0
2010,100-101-140,FALSE,0.1148677345878587,1,32,-4.687309107251116,2009,FALSE,FALSE,8,100-101-140_S8,2010,flipped,TRUE,flipped,-0.8071992634366915,-0.5537596743545242,1.4148164200442492,1.1001139389063763,post-1989,0,1
1982,100-101-145,FALSE,0.12547831666631967,1.8888888888888886,28,-6.053862930478203,1981,TRUE,TRUE,1,100-101-145_S1,1982,flipped,TRUE,flipped,-0.658927104157609,-0.5322415441626295,0.9601797284892816,0.18658928394619187,1945-1989,0,1
1987,100-101-145,FALSE,0.12705535741502813,1,29,-6.028743119200443,1986,TRUE,TRUE,2,100-101-145_S2,1988,flipped,FALSE,continues,-0.636889553780729,-0.5537596743545242,1.0738389013780234,0.2033815730899815,1945-1989,0,0
1988,100-101-145,FALSE,0.12705535741502813,1,29,-6.038601870743571,1987,FALSE,FALSE,2,100-101-145_S2,1988,flipped,TRUE,flipped,-0.636889553780729,-0.5537596743545242,1.0738389013780234,0.1967911172669487,1945-1989,0,1
1994,100-101-145,FALSE,0.1146704384053689,1,32,-5.9079622712453554,1993,TRUE,TRUE,3,100-101-145_S3,1995,flipped,FALSE,continues,-0.8099562781583123,-0.5537596743545242,1.4148164200442492,0.2841221049143432,post-1989,0,0
1995,100-101-145,FALSE,0.11500797867443287,1,32,-5.891786273750004,1994,FALSE,FALSE,3,100-101-145_S3,1995,flipped,TRUE,flipped,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,0.29493556303023505,post-1989,0,1
1997,100-101-145,FALSE,0.11500797867443287,1,32,-5.843092889607724,1996,TRUE,TRUE,4,100-101-145_S4,1997,flipped,TRUE,flipped,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,0.32748649969394816,post-1989,0,1
2000,100-101-145,FALSE,0.11462239730844685,1,32,-5.8470657206038466,1999,TRUE,TRUE,5,100-101-145_S5,2000,flipped,TRUE,flipped,-0.8106276039274449,-0.5537596743545242,1.4148164200442492,0.3248307103622279,post-1989,0,1
2003,100-101-145,FALSE,0.11476740687100999,1,32,-5.831200492199488,2002,TRUE,TRUE,6,100-101-145_S6,2003,flipped,TRUE,flipped,-0.8086012418675352,-0.5537596743545242,1.4148164200442492,0.3354364231103218,post-1989,0,1
2006,100-101-145,FALSE,0.11490357687453194,1,32,-5.790181004094455,2005,TRUE,TRUE,7,100-101-145_S7,2006,flipped,TRUE,flipped,-0.8066984037101239,-0.5537596743545242,1.4148164200442492,0.3628574533550755,post-1989,0,1
2008,100-101-145,FALSE,0.11483313371520337,1,32,-5.707062757809343,2007,TRUE,TRUE,8,100-101-145_S8,2010,flipped,FALSE,continues,-0.8076827756571908,-0.5537596743545242,1.4148164200442492,0.41842099279854533,post-1989,0,0
2009,100-101-145,FALSE,0.11483313371520337,1,32,-5.7071636544453455,2008,FALSE,FALSE,8,100-101-145_S8,2010,flipped,FALSE,continues,-0.8076827756571908,-0.5537596743545242,1.4148164200442492,0.41835354462122204,post-1989,0,0
2010,100-101-145,FALSE,0.1148677345878587,1,32,-5.731973279176419,2009,FALSE,FALSE,8,100-101-145_S8,2010,flipped,TRUE,flipped,-0.8071992634366915,-0.5537596743545242,1.4148164200442492,0.40176861142142717,post-1989,0,1
