year,ccode_low,ccode_high,sign,multiplex
1821,271,300,1,FALSE
1821,273,275,1,FALSE
1821,273,300,1,FALSE
1821,275,300,1,FALSE
1821,300,325,-1,FALSE
1821,300,329,-1,FALSE
1821,300,337,1,FALSE
1821,300,365,1,FALSE
1821,365,640,-1,FALSE
1822,200,235,1,FALSE
1822,200,255,1,FALSE
1822,200,300,1,FALSE
1822,200,365,1,FALSE
1822,200,380,1,FALSE
1822,220,230,-1,FALSE
1822,245,255,1,FALSE
1822,245,267,1,FALSE
1822,245,269,1,FALSE
1822,245,271,1,FALSE
1822,245,273,1,FALSE
1822,245,275,1,FALSE
1822,245,300,1,FALSE
1822,255,267,1,FALSE
1822,255,269,1,FALSE
1822,255,271,1,FALSE
1822,255,273,1,FALSE
1822,255,275,1,FALSE
1822,255,300,1,FALSE
1822,255,365,1,FALSE
1822,267,269,1,FALSE
1822,267,271,1,FALSE
1822,267,273,1,FALSE
1822,267,275,1,FALSE
1822,267,300,1,FALSE
1822,269,271,1,FALSE
1822,269,273,1,FALSE
1822,269,275,1,FALSE
1822,269,300,1,FALSE
1822,271,273,1,FALSE
1822,271,275,1,FALSE
1822,271,300,1,FALSE
1822,273,275,1,FALSE
1822,273,300,1,FALSE
1822,275,300,1,FALSE
1822,300,337,1,FALSE
1822,300,365,1,FALSE
1823,200,235,1,FALSE
1823,200,380,1,FALSE
1823,220,230,-1,FALSE
1823,245,255,1,FALSE
1823,245,267,1,FALSE
1823,245,269,1,FALSE
1823,245,271,1,FALSE
1823,245,273,1,FALSE
1823,245,275,1,FALSE
1823,245,300,1,FALSE
1823,255,267,1,FALSE
1823,255,269,1,FALSE
1823,255,271,1,FALSE
1823,255,273,1,FALSE
1823,255,275,1,FALSE
1823,255,300,1,FALSE
1823,267,269,1,FALSE
1823,267,271,1,FALSE
1823,267,273,1,FALSE
1823,267,275,1,FALSE
1823,267,300,1,FALSE
1823,269,271,1,FALSE
1823,269,273,1,FALSE
1823,269,275,1,FALSE
1823,269,300,1,FALSE
1823,271,273,1,FALSE
1823,271,275,1,FALSE
1823,271,300,1,FALSE
1823,273,275,1,FALSE
1823,273,300,1,FALSE
1823,275,300,1,FALSE
1823,300,337,1,FALSE
1824,200,235,1,FALSE
1824,200,380,1,FALSE
1824,245,255,1,FALSE
1824,245,267,1,FALSE
1824,245,269,1,FALSE
1824,245,271,1,FALSE
1824,245,273,1,FALSE
1824,245,275,1,FALSE
1824,245,300,1,FALSE
1824,255,267,1,FALSE
1824,255,269,1,FALSE
1824,255,271,1,FALSE
1824,255,273,1,FALSE
1824,255,275,1,FALSE
1824,255,300,1,FALSE
1824,267,269,1,FALSE
1824,267,271,1,FALSE
1824,267,273,1,FALSE
1824,267,275,1,FALSE
1824,267,300,1,FALSE
1824,269,271,1,FALSE
1824,269,273,1,FALSE
1824,269,275,1,FALSE
1824,269,300,1,FALSE
1824,271,273,1,FALSE
1824,271,275,1,FALSE
1824,271,300,1,FALSE
1824,273,275,1,FALSE
1824,273,300,1,FALSE
1824,275,300,1,FALSE
1824,300,337,1,FALSE
1825,200,235,1,FALSE
1825,200,380,1,FALSE
1825,245,255,1,FALSE
1825,245,267,1,FALSE
1825,245,269,1,FALSE
1825,245,271,1,FALSE
1825,245,273,1,FALSE
1825,245,275,1,FALSE
1825,245,300,1,FALSE
1825,255,267,1,FALSE
1825,255,269,1,FALSE
1825,255,271,1,FALSE
1825,255,273,1,FALSE
1825,255,275,1,FALSE
1825,255,300,1,FALSE
1825,267,269,1,FALSE
1825,267,271,1,FALSE
1825,267,273,1,FALSE
1825,267,275,1,FALSE
1825,267,300,1,FALSE
1825,269,271,1,FALSE
1825,269,273,1,FALSE
1825,269,275,1,FALSE
1825,269,300,1,FALSE
1825,271,273,1,FALSE
1825,271,275,1,FALSE
1825,271,300,1,FALSE
1825,273,275,1,FALSE
1825,273,300,1,FALSE
1825,275,300,1,FALSE
1825,300,337,1,FALSE
1825,325,640,-1,FALSE
1826,140,220,-1,FALSE
1826,200,235,1,FALSE
1826,200,380,1,FALSE
1826,245,255,1,FALSE
1826,245,267,1,FALSE
1826,245,269,1,FALSE
1826,245,271,1,FALSE
1826,245,273,1,FALSE
1826,245,275,1,FALSE
1826,245,300,1,FALSE
1826,255,267,1,FALSE
1826,255,269,1,FALSE
1826,255,271,1,FALSE
1826,255,273,1,FALSE
1826,255,275,1,FALSE
1826,255,300,1,FALSE
1826,267,269,1,FALSE
1826,267,271,1,FALSE
1826,267,273,1,FALSE
1826,267,275,1,FALSE
1826,267,300,1,FALSE
1826,269,271,1,FALSE
1826,269,273,1,FALSE
1826,269,275,1,FALSE
1826,269,300,1,FALSE
1826,271,273,1,FALSE
1826,271,275,1,FALSE
1826,271,300,1,FALSE
1826,273,275,1,FALSE
1826,273,300,1,FALSE
1826,275,300,1,FALSE
1826,300,337,1,FALSE
1826,365,640,-1,FALSE
1827,200,220,1,FALSE
1827,200,235,1,FALSE
1827,200,365,1,FALSE
1827,200,380,1,FALSE
1827,200,640,-1,FALSE
1827,220,365,1,FALSE
1827,220,640,-1,FALSE
1827,245,255,1,FALSE
1827,245,267,1,FALSE
1827,245,269,1,FALSE
1827,245,271,1,FALSE
1827,245,273,1,FALSE
1827,245,275,1,FALSE
1827,245,300,1,FALSE
1827,255,267,1,FALSE
1827,255,269,1,FALSE
1827,255,271,1,FALSE
1827,255,273,1,FALSE
1827,255,275,1,FALSE
1827,255,300,1,FALSE
1827,267,269,1,FALSE
1827,267,271,1,FALSE
1827,267,273,1,FALSE
1827,267,275,1,FALSE
1827,267,300,1,FALSE
1827,269,271,1,FALSE
1827,269,273,1,FALSE
1827,269,275,1,FALSE
1827,269,300,1,FALSE
1827,271,273,1,FALSE
1827,271,275,1,FALSE
1827,271,300,1,FALSE
1827,273,275,1,FALSE
1827,273,300,1,FALSE
1827,275,300,1,FALSE
1827,300,337,1,FALSE
1827,365,640,-1,FALSE
1828,200,220,1,FALSE
1828,200,235,1,FALSE
1828,200,365,1,FALSE
1828,200,380,1,FALSE
1828,200,640,-1,FALSE
1828,220,365,1,FALSE
1828,220,640,-1,FALSE
1828,245,255,1,FALSE
1828,245,267,1,FALSE
1828,245,269,1,FALSE
1828,245,271,1,FALSE
1828,245,273,1,FALSE
1828,245,275,1,FALSE
1828,245,300,1,FALSE
1828,255,267,1,FALSE
1828,255,269,1,FALSE
1828,255,271,1,FALSE
1828,255,273,1,FALSE
1828,255,275,1,FALSE
1828,255,300,1,FALSE
1828,267,269,1,FALSE
1828,267,271,1,FALSE
1828,267,273,1,FALSE
1828,267,275,1,FALSE
1828,267,300,1,FALSE
1828,269,271,1,FALSE
1828,269,273,1,FALSE
1828,269,275,1,FALSE
1828,269,300,1,FALSE
1828,271,273,1,FALSE
1828,271,275,1,FALSE
1828,271,300,1,FALSE
1828,273,275,1,FALSE
1828,273,300,1,FALSE
1828,275,300,1,FALSE
1828,300,337,1,FALSE
1828,365,640,-1,FALSE
1829,200,220,1,FALSE
1829,200,235,1,FALSE
1829,200,365,1,FALSE
1829,200,380,1,FALSE
1829,220,365,1,FALSE
1829,245,255,1,FALSE
1829,245,267,1,FALSE
1829,245,269,1,FALSE
1829,245,271,1,FALSE
1829,245,273,1,FALSE
1829,245,275,1,FALSE
1829,245,300,1,FALSE
1829,255,267,1,FALSE
1829,255,269,1,FALSE
1829,255,271,1,FALSE
1829,255,273,1,FALSE
1829,255,275,1,FALSE
1829,255,300,1,FALSE
1829,267,269,1,FALSE
1829,267,271,1,FALSE
1829,267,273,1,FALSE
1829,267,275,1,FALSE
1829,267,300,1,FALSE
1829,269,271,1,FALSE
1829,269,273,1,FALSE
1829,269,275,1,FALSE
1829,269,300,1,FALSE
1829,271,273,1,FALSE
1829,271,275,1,FALSE
1829,271,300,1,FALSE
1829,273,275,1,FALSE
1829,273,300,1,FALSE
1829,275,300,1,FALSE
1829,300,337,1,FALSE
1829,350,640,-1,FALSE
1829,365,640,-1,FALSE
1830,200,235,1,FALSE
1830,200,380,1,FALSE
1830,210,220,-1,FALSE
1830,220,255,-1,FALSE
1830,245,255,1,FALSE
1830,245,267,1,FALSE
1830,245,269,1,FALSE
1830,245,271,1,FALSE
1830,245,273,1,FALSE
1830,245,275,1,FALSE
1830,245,300,1,FALSE
1830,255,267,1,FALSE
1830,255,269,1,FALSE
1830,255,271,1,FALSE
1830,255,273,1,FALSE
1830,255,275,1,FALSE
1830,255,300,1,FALSE
1830,267,269,1,FALSE
1830,267,271,1,FALSE
1830,267,273,1,FALSE
1830,267,275,1,FALSE
1830,267,300,1,FALSE
1830,269,271,1,FALSE
1830,269,273,1,FALSE
1830,269,275,1,FALSE
1830,269,300,1,FALSE
1830,271,273,1,FALSE
1830,271,275,1,FALSE
1830,271,300,1,FALSE
1830,273,275,1,FALSE
1830,273,300,1,FALSE
1830,275,300,1,FALSE
1830,300,337,1,FALSE
1831,200,210,-1,FALSE
1831,200,235,-1,FALSE
1831,200,380,1,FALSE
1831,210,211,-1,FALSE
1831,210,220,-1,FALSE
1831,220,235,-1,FALSE
1831,245,255,1,FALSE
1831,245,267,1,FALSE
1831,245,269,1,FALSE
1831,245,271,1,FALSE
1831,245,273,1,FALSE
1831,245,275,1,FALSE
1831,245,300,1,FALSE
1831,255,267,1,FALSE
1831,255,269,1,FALSE
1831,255,271,1,FALSE
1831,255,273,1,FALSE
1831,255,275,1,FALSE
1831,255,300,1,FALSE
1831,267,269,1,FALSE
1831,267,271,1,FALSE
1831,267,273,1,FALSE
1831,267,275,1,FALSE
1831,267,300,1,FALSE
1831,269,271,1,FALSE
1831,269,273,1,FALSE
1831,269,275,1,FALSE
1831,269,300,1,FALSE
1831,271,273,1,FALSE
1831,271,275,1,FALSE
1831,271,300,1,FALSE
1831,273,275,1,FALSE
1831,273,300,1,FALSE
1831,275,300,1,FALSE
1831,300,325,1,FALSE
1831,300,337,1,FALSE
1832,200,210,-1,FALSE
1832,200,220,1,FALSE
1832,200,235,1,FALSE
1832,200,255,-1,FALSE
1832,200,380,1,FALSE
1832,210,211,-1,FALSE
1832,210,220,-1,FALSE
1832,211,255,-1,FALSE
1832,220,255,-1,FALSE
1832,245,255,1,FALSE
1832,245,267,1,FALSE
1832,245,269,1,FALSE
1832,245,271,1,FALSE
1832,245,273,1,FALSE
1832,245,275,1,FALSE
1832,245,300,1,FALSE
1832,255,267,1,FALSE
1832,255,269,1,FALSE
1832,255,271,1,FALSE
1832,255,273,1,FALSE
1832,255,275,1,FALSE
1832,255,300,1,FALSE
1832,267,269,1,FALSE
1832,267,271,1,FALSE
1832,267,273,1,FALSE
1832,267,275,1,FALSE
1832,267,300,1,FALSE
1832,269,271,1,FALSE
1832,269,273,1,FALSE
1832,269,275,1,FALSE
1832,269,300,1,FALSE
1832,271,273,1,FALSE
1832,271,275,1,FALSE
1832,271,300,1,FALSE
1832,273,275,1,FALSE
1832,273,300,1,FALSE
1832,275,300,1,FALSE
1832,300,325,1,FALSE
1832,300,337,1,FALSE
1833,100,220,-1,FALSE
1833,200,210,-1,FALSE
1833,200,220,1,FALSE
1833,200,235,1,FALSE
1833,200,255,-1,FALSE
1833,200,365,-1,FALSE
1833,200,380,1,FALSE
