group,n,hit_rate,ci_low,ci_high,p_value
All events,2516,0.965818759936407,0.9579569477256609,0.9725703587132492,0
Alliance events (pos->neg),67,0.11940298507462686,0.05298480594316103,0.22178513843994274,8.014533413809186e-5
Dispute events (neg->pos),2449,0.9889750918742344,0.9839996034445342,0.992722293601004,0
